Date,Load,Zone
1/1/2017 8:00:00 PM,862,Mhk Vl
1/1/2017 8:00:00 PM,394,Millwd
1/1/2017 8:00:00 PM,5635,N.Y.C.
1/1/2017 8:00:00 PM,590,North
1/1/2017 8:00:00 PM,1794,West
1/1/2017 8:00:00 PM,18327,NYISO
1/1/2017 9:00:00 PM,1418,Capitl
1/1/2017 9:00:00 PM,1803,Centrl
1/1/2017 9:00:00 PM,725,Dunwod
1/1/2017 9:00:00 PM,1091,Genese
1/1/2017 9:00:00 PM,1181,Hud Vl
1/1/2017 9:00:00 PM,2537,Longil
1/1/2017 9:00:00 PM,815,Mhk Vl
1/1/2017 9:00:00 PM,381,Millwd
1/1/2017 9:00:00 PM,5601,N.Y.C.
1/1/2017 9:00:00 PM,577,North
1/1/2017 9:00:00 PM,1759,West
1/1/2017 9:00:00 PM,17888,NYISO
1/1/2017 10:00:00 PM,1353,Capitl
1/1/2017 10:00:00 PM,1721,Centrl
1/1/2017 10:00:00 PM,694,Dunwod
1/1/2017 10:00:00 PM,1044,Genese
1/1/2017 10:00:00 PM,1118,Hud Vl
1/1/2017 10:00:00 PM,2406,Longil
1/1/2017 10:00:00 PM,758,Mhk Vl
1/1/2017 10:00:00 PM,357,Millwd
1/1/2017 10:00:00 PM,5512,N.Y.C.
1/1/2017 10:00:00 PM,562,North
1/1/2017 10:00:00 PM,1705,West
1/1/2017 10:00:00 PM,17230,NYISO
1/1/2017 11:00:00 PM,1297,Capitl
1/1/2017 11:00:00 PM,1652,Centrl
1/1/2017 11:00:00 PM,659,Dunwod
1/1/2017 11:00:00 PM,1004,Genese
1/1/2017 11:00:00 PM,1053,Hud Vl
1/1/2017 11:00:00 PM,2261,Longil
1/1/2017 11:00:00 PM,721,Mhk Vl
1/1/2017 11:00:00 PM,336,Millwd
1/1/2017 11:00:00 PM,5385,N.Y.C.
1/1/2017 11:00:00 PM,553,North
1/1/2017 11:00:00 PM,1655,West
1/1/2017 11:00:00 PM,16576,NYISO
1/2/2017 12:00:00 AM,1186,Capitl
1/2/2017 12:00:00 AM,1552,Centrl
1/2/2017 12:00:00 AM,611,Dunwod
1/2/2017 12:00:00 AM,905,Genese
1/2/2017 12:00:00 AM,968,Hud Vl
1/2/2017 12:00:00 AM,2072,Longil
1/2/2017 12:00:00 AM,664,Mhk Vl
1/2/2017 12:00:00 AM,314,Millwd
1/2/2017 12:00:00 AM,4996,N.Y.C.
1/2/2017 12:00:00 AM,550,North
1/2/2017 12:00:00 AM,1526,West
1/2/2017 12:00:00 AM,15344,NYISO
1/2/2017 1:00:00 AM,1146,Capitl
1/2/2017 1:00:00 AM,1517,Centrl
1/2/2017 1:00:00 AM,579,Dunwod
1/2/2017 1:00:00 AM,872,Genese
1/2/2017 1:00:00 AM,919,Hud Vl
1/2/2017 1:00:00 AM,1940,Longil
1/2/2017 1:00:00 AM,654,Mhk Vl
1/2/2017 1:00:00 AM,291,Millwd
1/2/2017 1:00:00 AM,4829,N.Y.C.
1/2/2017 1:00:00 AM,542,North
1/2/2017 1:00:00 AM,1481,West
1/2/2017 1:00:00 AM,14770,NYISO
1/2/2017 2:00:00 AM,1128,Capitl
1/2/2017 2:00:00 AM,1483,Centrl
1/2/2017 2:00:00 AM,564,Dunwod
1/2/2017 2:00:00 AM,854,Genese
1/2/2017 2:00:00 AM,887,Hud Vl
1/2/2017 2:00:00 AM,1854,Longil
1/2/2017 2:00:00 AM,648,Mhk Vl
1/2/2017 2:00:00 AM,293,Millwd
1/2/2017 2:00:00 AM,4681,N.Y.C.
1/2/2017 2:00:00 AM,536,North
1/2/2017 2:00:00 AM,1455,West
1/2/2017 2:00:00 AM,14383,NYISO
1/2/2017 3:00:00 AM,1119,Capitl
1/2/2017 3:00:00 AM,1471,Centrl
1/2/2017 3:00:00 AM,551,Dunwod
1/2/2017 3:00:00 AM,847,Genese
1/2/2017 3:00:00 AM,881,Hud Vl
1/2/2017 3:00:00 AM,1808,Longil
1/2/2017 3:00:00 AM,643,Mhk Vl
1/2/2017 3:00:00 AM,285,Millwd
1/2/2017 3:00:00 AM,4588,N.Y.C.
1/2/2017 3:00:00 AM,534,North
1/2/2017 3:00:00 AM,1446,West
1/2/2017 3:00:00 AM,14173,NYISO
1/2/2017 4:00:00 AM,1130,Capitl
1/2/2017 4:00:00 AM,1493,Centrl
1/2/2017 4:00:00 AM,553,Dunwod
1/2/2017 4:00:00 AM,864,Genese
1/2/2017 4:00:00 AM,891,Hud Vl
1/2/2017 4:00:00 AM,1806,Longil
1/2/2017 4:00:00 AM,655,Mhk Vl
1/2/2017 4:00:00 AM,282,Millwd
1/2/2017 4:00:00 AM,4568,N.Y.C.
1/2/2017 4:00:00 AM,539,North
1/2/2017 4:00:00 AM,1464,West
1/2/2017 4:00:00 AM,14245,NYISO
1/2/2017 5:00:00 AM,1164,Capitl
1/2/2017 5:00:00 AM,1545,Centrl
1/2/2017 5:00:00 AM,573,Dunwod
1/2/2017 5:00:00 AM,900,Genese
1/2/2017 5:00:00 AM,908,Hud Vl
1/2/2017 5:00:00 AM,1843,Longil
1/2/2017 5:00:00 AM,705,Mhk Vl
1/2/2017 5:00:00 AM,289,Millwd
1/2/2017 5:00:00 AM,4653,N.Y.C.
1/2/2017 5:00:00 AM,550,North
1/2/2017 5:00:00 AM,1498,West
1/2/2017 5:00:00 AM,14628,NYISO
1/2/2017 6:00:00 AM,1206,Capitl
1/2/2017 6:00:00 AM,1619,Centrl
1/2/2017 6:00:00 AM,586,Dunwod
1/2/2017 6:00:00 AM,949,Genese
1/2/2017 6:00:00 AM,941,Hud Vl
1/2/2017 6:00:00 AM,1862,Longil
1/2/2017 6:00:00 AM,738,Mhk Vl
1/2/2017 6:00:00 AM,297,Millwd
1/2/2017 6:00:00 AM,4807,N.Y.C.
1/2/2017 6:00:00 AM,566,North
1/2/2017 6:00:00 AM,1560,West
1/2/2017 6:00:00 AM,15131,NYISO
1/2/2017 7:00:00 AM,1251,Capitl
1/2/2017 7:00:00 AM,1689,Centrl
1/2/2017 7:00:00 AM,600,Dunwod
1/2/2017 7:00:00 AM,992,Genese
1/2/2017 7:00:00 AM,985,Hud Vl
1/2/2017 7:00:00 AM,1915,Longil
1/2/2017 7:00:00 AM,764,Mhk Vl
1/2/2017 7:00:00 AM,316,Millwd
1/2/2017 7:00:00 AM,4975,N.Y.C.
1/2/2017 7:00:00 AM,577,North
1/2/2017 7:00:00 AM,1630,West
1/2/2017 7:00:00 AM,15694,NYISO
1/2/2017 8:00:00 AM,1307,Capitl
1/2/2017 8:00:00 AM,1754,Centrl
1/2/2017 8:00:00 AM,639,Dunwod
1/2/2017 8:00:00 AM,1020,Genese
1/2/2017 8:00:00 AM,1037,Hud Vl
1/2/2017 8:00:00 AM,2019,Longil
1/2/2017 8:00:00 AM,805,Mhk Vl
1/2/2017 8:00:00 AM,338,Millwd
1/2/2017 8:00:00 AM,5243,N.Y.C.
1/2/2017 8:00:00 AM,594,North
1/2/2017 8:00:00 AM,1655,West
1/2/2017 8:00:00 AM,16411,NYISO
1/2/2017 9:00:00 AM,1347,Capitl
1/2/2017 9:00:00 AM,1828,Centrl
1/2/2017 9:00:00 AM,675,Dunwod
1/2/2017 9:00:00 AM,1051,Genese
1/2/2017 9:00:00 AM,1096,Hud Vl
1/2/2017 9:00:00 AM,2125,Longil
1/2/2017 9:00:00 AM,850,Mhk Vl
1/2/2017 9:00:00 AM,356,Millwd
1/2/2017 9:00:00 AM,5453,N.Y.C.
1/2/2017 9:00:00 AM,601,North
1/2/2017 9:00:00 AM,1692,West
1/2/2017 9:00:00 AM,17074,NYISO
1/2/2017 10:00:00 AM,1398,Capitl
1/2/2017 10:00:00 AM,1876,Centrl
1/2/2017 10:00:00 AM,707,Dunwod
1/2/2017 10:00:00 AM,1096,Genese
1/2/2017 10:00:00 AM,1141,Hud Vl
1/2/2017 10:00:00 AM,2248,Longil
1/2/2017 10:00:00 AM,884,Mhk Vl
1/2/2017 10:00:00 AM,366,Millwd
1/2/2017 10:00:00 AM,5687,N.Y.C.
1/2/2017 10:00:00 AM,607,North
1/2/2017 10:00:00 AM,1748,West
1/2/2017 10:00:00 AM,17758,NYISO
1/2/2017 11:00:00 AM,18105,NYISO
1/2/2017 11:00:00 AM,1395,Capitl
1/2/2017 11:00:00 AM,1889,Centrl
1/2/2017 11:00:00 AM,722,Dunwod
1/2/2017 11:00:00 AM,1110,Genese
1/2/2017 11:00:00 AM,1147,Hud Vl
1/2/2017 11:00:00 AM,2304,Longil
1/2/2017 11:00:00 AM,886,Mhk Vl
1/2/2017 11:00:00 AM,370,Millwd
1/2/2017 11:00:00 AM,5923,N.Y.C.
1/2/2017 11:00:00 AM,599,North
1/2/2017 11:00:00 AM,1760,West
1/2/2017 12:00:00 PM,1382,Capitl
1/2/2017 12:00:00 PM,1869,Centrl
1/2/2017 12:00:00 PM,725,Dunwod
1/2/2017 12:00:00 PM,1108,Genese
